tradition,"전통,전통,전승"
patriotism,애국심
religious,"종교의,경건한,엄정한,수도회에속하는,신앙심깊은사람들"
conscience,양심
intellect,"지력,이해력"
culture,"문화,지적·예술적활동,그성과,사육,경작,배양균"
civilization,"문명,문명국민,문화생활,고도문명사회"
prejudice,"편견,나쁜감정,불이익"
instinct,"본능,가득찬"
privilege,"특권,특권,명예"
impulse,"추진,충격,자극,변덕,욕구"
virtue,"덕,고결,잠재능력"
vice,"범죄,악덕,부도덕,…대신에"
revolution,"혁명,격변,1회전,순환,공전주기,자전"
stimulus,"자극,자극물,침"
ambition,"큰뜻,야심"
vanity,허영심
envy,"질투,선망의대상"
jealousy,질투
fatigue,"피로,작업반,작업복,약화시키다,잡역을하다"
passion,"열정,정열,정욕,몹시좋아하는것,흥분"
famine,기근
calamity,"큰재난,참사"
individual,"개인,한단위,개체,개체의"
emotion,감동
evolution,발달
hypocrisy,"위선,위선행위"
character,"성격,품성,고결,괴짜,캐릭터,암호,문자,자체"
method,"방법,조리,체계,규칙바름"
psychology,"심리학,심리작전,심리학체계"
chivalry,기사도
literature,"문학,조사보고서"
responsibility,책임
system,"체계,조직망,통일성,질서,순서"
challenge,"도전,신청,도전장,해볼만함,항의,이의신청,걸다,…에게대답을요구하다"
monotony,"단조로움,지루함"
disgrace,"불명예,망신시키는것,욕보이다,면직하다"
luxury,사치
anachronism,"시대착오,시대에뒤진것"
conquest,"정복,극복,획득,차지한여자"
siege,"포위공격,공성기간,지위"
insight,"통찰,통찰력"
panic,"기장류,돌연한공포,허둥지둥,공황적인"
universe,"우주,은하계,성운,전인류,논의의영역"
criticism,"비평,평론문,비판철학,비난"
influence,"영향,작용,설득,세력,명망,설득력"
resistance,"저항,내성,전류저항장치"
convenience,"편의,사정,편리한설비,의식주의편리"
hardship,"곤란,결핍,고충,고충의원인"
existence,존재
fortitude,"꿋꿋함,견고함"
compromise,"타협,절충물,화해시키다,굴욕적으로양보하다"
prosperity,"번영,부유"
comfort,"위안하다,위문품,이불,생활을즐겁게해주는것,안락"
